Year,CountryCode,Population
1960,ABW,54608
1961,ABW,55811
1962,ABW,56682
1963,ABW,57475
1964,ABW,58178
1965,ABW,58782
1966,ABW,59291
1967,ABW,59522
1968,ABW,59471
1969,ABW,59330
1970,ABW,59106
1971,ABW,58816
1972,ABW,58855
1973,ABW,59365
1974,ABW,60028
1975,ABW,60715
1976,ABW,61193
1977,ABW,61465
1978,ABW,61738
1979,ABW,62006
1980,ABW,62267
1981,ABW,62614
1982,ABW,63116
1983,ABW,63683
1984,ABW,64174
1985,ABW,64478
1986,ABW,64553
1987,ABW,64450
1988,ABW,64332
1989,ABW,64596
1990,ABW,65712
1991,ABW,67864
1992,ABW,70192
1993,ABW,72360
1994,ABW,74710
1995,ABW,77050
1996,ABW,79417
1997,ABW,81858
1998,ABW,84355
1999,ABW,86867
2000,ABW,89101
2001,ABW,90691
2002,ABW,91781
2003,ABW,92701
2004,ABW,93540
2005,ABW,94483
2006,ABW,95606
2007,ABW,96787
2008,ABW,97996
2009,ABW,99212
2010,ABW,100341
2011,ABW,101288
2012,ABW,102112
2013,ABW,102880
1960,AFG,8622466
1961,AFG,8790140
1962,AFG,8969047
1963,AFG,9157465
1964,AFG,9355514
1965,AFG,9565147
1966,AFG,9783147
1967,AFG,10010030
1968,AFG,10247780
1969,AFG,10494489
1970,AFG,10752971
1971,AFG,11015857
1972,AFG,11286753
1973,AFG,11575305
1974,AFG,11869879
1975,AFG,12157386
1976,AFG,12425267
1977,AFG,12687301
1978,AFG,12938862
1979,AFG,12986369
1980,AFG,12486631
1981,AFG,11155195
1982,AFG,10088289
1983,AFG,9951449
1984,AFG,10243686
1985,AFG,10512221
1986,AFG,10448442
1987,AFG,10322758
1988,AFG,10383460
1989,AFG,10673168
1990,AFG,10694796
1991,AFG,10745167
1992,AFG,12057433
1993,AFG,14003760
1994,AFG,15455555
1995,AFG,16418912
1996,AFG,17106595
1997,AFG,17788819
1998,AFG,18493132
1999,AFG,19262847
2000,AFG,19542982
2001,AFG,19688632
2002,AFG,21000256
2003,AFG,22645130
2004,AFG,23553551
2005,AFG,24411191
2006,AFG,25442944
2007,AFG,25903301
2008,AFG,26427199
2009,AFG,27385307
2010,AFG,28189672
2011,AFG,29249157
2012,AFG,30466479
2013,AFG,31541209
1960,AGO,5357195
1961,AGO,5441333
1962,AGO,5521400
1963,AGO,5599827
1964,AGO,5673199
1965,AGO,5736582
1966,AGO,5787044
1967,AGO,5827503
1968,AGO,5868203
1969,AGO,5928386
1970,AGO,6029700
1971,AGO,6177049
1972,AGO,6364731
1973,AGO,6578230
1974,AGO,6802494
1975,AGO,7032713
1976,AGO,7266780
1977,AGO,7511895
1978,AGO,7771590
1979,AGO,8043218
1980,AGO,8330047
1981,AGO,8631457
1982,AGO,8947152
1983,AGO,9276707
1984,AGO,9617702
1985,AGO,9970621
1986,AGO,10332574
1987,AGO,10694057
1988,AGO,11060261
1989,AGO,11439498
1990,AGO,11828638
1991,AGO,12228691
1992,AGO,12632507
1993,AGO,13038270
1994,AGO,13462031
1995,AGO,13912253
1996,AGO,14383350
1997,AGO,14871146
1998,AGO,15366864
1999,AGO,15870753
2000,AGO,16394062
2001,AGO,16941587
2002,AGO,17516139
2003,AGO,18124342
2004,AGO,18771125
2005,AGO,19450959
2006,AGO,20162340
2007,AGO,20909684
2008,AGO,21691522
2009,AGO,22507674
2010,AGO,23364185
2011,AGO,24259111
2012,AGO,25188292
2013,AGO,26147002
1960,ALB,1608800
1961,ALB,1659800
1962,ALB,1711319
1963,ALB,1762621
1964,ALB,1814135
1965,ALB,1864791
1966,ALB,1914573
1967,ALB,1965598
1968,ALB,2022272
1969,ALB,2081695
1970,ALB,2135479
1971,ALB,2187853
1972,ALB,2243126
1973,ALB,2296752
1974,ALB,2350124
1975,ALB,2404831
1976,ALB,2458526
1977,ALB,2513546
1978,ALB,2566266
1979,ALB,2617832
1980,ALB,2671997
1981,ALB,2726056
1982,ALB,2784278
1983,ALB,2843960
1984,ALB,2904429
1985,ALB,2964762
1986,ALB,3022635
1987,ALB,3083605
1988,ALB,3142336
1989,ALB,3227943
1990,ALB,3286542
1991,ALB,3266790
1992,ALB,3247039
1993,ALB,3227287
1994,ALB,3207536
1995,ALB,3187784
1996,ALB,3168033
1997,ALB,3148281
1998,ALB,3128530
1999,ALB,3108778
2000,ALB,3089027
2001,ALB,3060173
2002,ALB,3051010
